"Deal_ID","Ticker","Acquiror_Name","AI_CAP","CULT","STRUCT","DYN","SIZE","OUT"
136,"ABDN","ABRDN PLC",-1.38981931592187,0.67,0.33,0.000636,0.989646,-0.221378
76,"ADBE","ADOBE INC.",0.75214166083919,0.67,0.67,0.00034,0.080773,0
80,"ADSK","AUTODESK INC.",0.0461459946033064,0.67,0.67,0.00034,0.263824,0.040238
124,"ADTN","ADTRAN HOLDINGS INC.",-0.176782040138865,0.33,0.95,0.000636,0.494881,-0.122896
115,"AIF","ALTUS GROUP LTD",-0.623777094817484,0.67,0.67,0.00034,0.403824,-0.238729
52,"AJG","ARTHUR J GALLAGHER & COMPANY",0.461912439262395,0.67,0.95,0.001354,0.050636,0.062385
4,"AJG","ARTHUR J GALLAGHER & COMPANY",0.461912439262395,0.67,0.95,0.001362,0.487246,-0.134628
51,"AJG","ARTHUR J GALLAGHER & COMPANY",0.461912439262395,0.67,0.95,0.001354,0.089755,0.062385
142,"AKAM","AKAMAI TECHNOLOGIES INC.",-1.1088765510645,0.33,0.95,0.000336,0.248849,-0.020943
5,"ALL","ALLSTATE CORPORATION, THE",0.173112439262395,0.33,0.67,0.001362,0.07907,-0.179912
85,"ALLY","ALLY FINANCIAL INC.",-0.372515277638048,0.67,0.95,0.00034,0.070159,-0.019973
36,"ALMB","ALM BRAND A/S",-0.617676483045887,0.67,0.95,0.002154,1.185703,-0.043286
135,"AMD","ADVANCED MICRO DEVICES INC.",1.30202070868308,0.33,0.95,0.000336,0.080505,-0.026199
139,"APP","APPLOVIN CORPORATION",0.424490224958373,0.33,0.95,0.000336,0.372729,0.221494
88,"APPS","DIGITAL TURBINE INC.",-0.875587859155714,0.33,0.95,0.00034,1.722054,0.348395
130,"APTV","APTIV PLC",0.575042624083707,0.33,0.67,0.000336,0.200126,-0.240074
49,"ASRNL","ASR NEDERLAND NV",-0.617676483045887,0.95,0.95,0.001354,0.389918,0.089688
119,"AV","ANTARES VISION SPA",NA,0.67,0.67,0.00034,0.715752,-0.072951
168,"AVGO","BROADCOM INC.",1.04200792973367,0.33,0.95,0.000209,1.926352,0.225999
48,"BANC","BANC OF CALIFORNIA INC.",-0.411356483045887,0.33,0.95,0.002159,0.669593,-0.021251
15,"BDGE","BRIDGE BANCORP INC.",-0.617676483045887,0.67,0.95,0.00055,1.14602,-0.012252
67,"BILL","BILL.COM HOLDINGS INC.",0.483082364232356,0.67,0.67,0.00034,9.967893,0.998833
77,"BKNG","BOOKING HOLDINGS INC.",-0.908529037681553,0.67,0.95,0.00034,0.109509,0.287456
56,"BMO","BANK OF MONTREAL",0.963901361570678,0.67,0.95,0.002159,0.273909,-0.04605
44,"BRKB","BERKSHIRE HATHAWAY INC.",0.216032439262395,0.33,0.33,0.002154,0.049547,0.078628
145,"BSY","BENTLEY SYSTEMS INC.",-0.0320305038018894,0.67,0.67,0.000336,0.636895,0.038111
79,"BSY","BENTLEY SYSTEMS INC.",-0.0320305038018894,0.67,0.67,0.00034,1.088031,0.019365
20,"BWIN","BRP GROUP INC.",-0.537036483045887,0.67,0.67,0.001362,0.287331,0.223344
1,"CABK","CAIXABANK SA",0.963901361570678,0.67,0.95,0.00055,0.354209,0.055117
2,"CADE","BANCORPSOUTH BANK",-0.617676483045887,0.67,0.95,0.00055,2.353654,0.077142
120,"CARG","CARGURUS INC.",-0.815192534407418,0.67,0.33,0.00034,0.147419,-0.128575
112,"CART","MAPLEBEAR INC.",0.193278702622855,0.67,0.67,0.00034,0.19084,0.179027
34,"CB","CHUBB LTD",0.479592439262395,0.67,0.67,0.002154,0.124602,-0.041057
87,"CDLX","CARDLYTICS INC.",-0.634832290065043,0.33,0.95,0.00034,2.4334,-0.032965
42,"CFG","CITIZENS FINANCIAL GROUP INC.",0.339632439262395,0.67,0.95,0.000864,0.38593,-0.013414
47,"COLB","COLUMBIA BANKING SYSTEM INC.",0.862923516954113,0.67,0.95,0.002159,2.369449,-0.03175
61,"CRM","SALESFORCE.COM INC.",0.388545695761767,0.67,0.95,0.00034,1.303407,0.105732
159,"CRTO","CRITEO SA",0.620687484798837,0.33,0.67,0.000336,0.123946,-0.092417
109,"CRWD","CROWDSTRIKE HOLDINGS INC.",0.262901455040804,0.67,0.95,0.00034,0.448288,0.492089
128,"DASH","DOORDASH INC.",-0.0846789798949325,0.67,0.67,0.000336,1.139162,0.204777
170,"DB1","DEUTSCHE BORSE AG",-0.776708343990778,0.67,0.67,0.000209,0.785492,0.123355
60,"DBK","DEUTSCHE BANK AG",0.963901361570678,0.67,0.67,0.001561,0.007466,-0.072752
28,"DNB","DNB BANK ASA",0.173112439262395,0.67,0.95,0.000864,0.113572,0.206357
110,"DND","DYE & DURHAM LTD",-0.905302868687262,0.33,0.95,0.00034,2.389105,0.194999
157,"DOCN","DIGITALOCEAN HOLDINGS INC.",0.779896232034007,0.67,0.67,0.000336,0.607299,0.092375
172,"EDEN","EDENRED SE",NA,0.67,0.67,0.000209,0.522939,0
16,"EFSC","ENTERPRISE FINANCIAL SERVICES CORPORATION",-0.617676483045887,0.33,0.95,0.00055,0.876223,0.117341
71,"EFX","EQUIFAX INC.",0.251126943466338,0.67,0.95,0.00034,0.370641,-0.07479
