"Deal_ID","AI_CAP","CULT","STRUCT","DYN","OUT"
136,0.016427442217849,0.67,0.33,0.63019863364877,0.0106817042995884
76,0.901556081937487,0.67,0.67,0.170022594282778,0.497448798203809
80,0.53391635272413,0.67,0.67,0.170022594282778,0.63930270358391
124,0.372729729539722,0.33,0.95,0.63019863364877,0.0745723175070616
115,0.137445176125063,0.67,0.67,0.170022594282778,0.00752019938707918
52,0.795771560430251,0.67,0.95,0.926692720326234,0.70916209758932
4,0.795771560430251,0.67,0.95,0.928195125737118,0.0596401113949224
51,0.795771560430251,0.67,0.95,0.926692720326234,0.70916209758932
142,0.0367909230399268,0.33,0.95,0.161668469323014,0.392301746762263
5,0.624740602467674,0.33,0.67,0.928195125737118,0.0245503770856192
85,0.250330855464123,0.67,0.95,0.170022594282778,0.397031421655812
36,0.139588649081522,0.67,0.95,0.991588530585539,0.290354464793366
135,0.978828914782949,0.33,0.95,0.161668469323014,0.367043571266863
139,0.777280051237913,0.33,0.95,0.161668469323014,0.960187022431455
88,0.0705602505447119,0.33,0.95,0.170022594282778,0.99337768849959
130,0.844641629851906,0.33,0.67,0.161668469323014,0.0073180590342978
49,0.139588649081522,0.95,0.95,0.926692720326234,0.783224657372908
168,0.95555877586931,0.33,0.95,0.0275577697985054,0.962594691968277
48,0.229486306988231,0.33,0.95,0.991704127807205,0.390804124935494
15,0.139588649081522,0.67,0.95,0.572742274536211,0.435298403939277
67,0.805715409289485,0.67,0.67,0.170022594282778,1
77,0.0644582339355185,0.67,0.95,0.170022594282778,0.984217939493848
56,0.944702833158478,0.67,0.95,0.991704127807205,0.278869579470635
44,0.653870046854406,0.33,0.33,0.991588530585539,0.754963631811639
145,0.476439495122045,0.67,0.67,0.161668469323014,0.632208764772718
79,0.476439495122045,0.67,0.67,0.170022594282778,0.567512428089556
20,0.170615530958802,0.67,0.67,0.928195125737118,0.961193215466903
1,0.944702833158478,0.67,0.95,0.572742274536211,0.687109077061045
2,0.139588649081522,0.67,0.95,0.572742274536211,0.750982721354201
120,0.0831509912666139,0.67,0.33,0.170022594282778,0.0669574266176539
112,0.638554866335822,0.67,0.67,0.170022594282778,0.928990900445013
34,0.804101789090876,0.67,0.67,0.991588530585539,0.29981694456836
87,0.133631428895002,0.33,0.95,0.170022594282778,0.335589014431472
42,0.731063885694369,0.67,0.95,0.763037048332218,0.429477846775898
47,0.926954750033008,0.67,0.95,0.991704127807205,0.341140526633839
61,0.758422281265502,0.67,0.95,0.170022594282778,0.819895073659464
159,0.861472756767404,0.33,0.67,0.161668469323014,0.130514582815979
109,0.684406553054166,0.67,0.95,0.170022594282778,0.999159156837522
128,0.437987901567576,0.67,0.67,0.161668469323014,0.949891796133588
170,0.0922078375512666,0.67,0.67,0.0275577697985054,0.854390197041269
60,0.944702833158478,0.67,0.67,0.957494486335676,0.183163755779918
28,0.624740602467674,0.67,0.95,0.763037048332218,0.950963920440809
110,0.0650334467057875,0.33,0.95,0.170022594282778,0.942747794656232
157,0.908574866366951,0.67,0.67,0.161668469323014,0.789723308724061
16,0.139588649081522,0.33,0.95,0.572742274536211,0.843280098098327
71,0.676870754409666,0.67,0.95,0.170022594282778,0.177022327631063
160,0.495396362030654,0.33,0.95,0.161668469323014,0.483015386007455
129,0.612351826243604,0.33,0.67,0.161668469323014,0.0556459845221702
25,0.166669155831329,0.67,0.95,0.763037048332218,0.998693306237425
134,0.126287158957698,0.33,0.95,0.161668469323014,0.141404358404165
106,0.790277035695641,0.67,0.67,0.170022594282778,0.193739992851409
