nt,ticker,name,Sector,AIE_subst_per1000,AIE_z,AIE_floored,status,AIS_b,AIS_a_raw,AIS_a_z,aisa_status,has_RD,AIS_b_z,AIS_z,AI_CAP_raw,AIE_z_neutral,AI_CAP_neutralAIE,AI_CAP_z,AI_CAP,rob_w50_50,rob_w60_40_orig,rob_w30_70,rob_w40_60_neutralfloor,AI_CAP_rank_sector,AI_CAP_z_sector
LMND,LMND,LEMONADE INC.,Financial Services,0.2348908627454392,5.6634,False,scored_v5,3,,,,False,1.829035602617796,1.829035602617796,4.129654241047119,5.6634,4.129654241047119,5.392563234201014,3.362781361570678,3.746217801308898,4.129654241047119,2.9793449218324572,3.362781361570678,1,4.391163759194361
COLB,COLB,COLUMBIA BANKING SYSTEM INC.,Financial Services,0.2289726759273393,3.3677,False,scored_v5,1,,,,False,-0.8069274717431454,-0.8069274717431454,1.697849011302742,3.3677,1.697849011302742,2.217067731558469,0.8629235169541128,1.2803862641284274,1.697849011302742,0.4454607697797983,0.8629235169541128,9,1.1268096507546392
NN,NN,NN GROUP NV,Financial Services,0.0,0.5419,False,scored_v2_edgar,2,,,,False,0.5110540654373253,0.5110540654373253,0.5295616261749302,0.5419,0.5295616261749302,0.6914968133409131,0.5233924392623952,0.5264770327186628,0.5295616261749302,0.5203078458061278,0.5233924392623952,10,0.6834445726992001
PB,PB,PROSPERITY BANCSHARES INC.,Financial Services,0.0403979195071453,0.4359,False,scored_v5,1,,,,False,-0.8069274717431454,-0.8069274717431454,-0.0612309886972581,0.4359,-0.0612309886972581,-0.0799709294594707,-0.3097964830458872,-0.1855137358715727,-0.06123098869725818,-0.43407923022020173,-0.3097964830458872,24,-0.4045467654885442
CB,CB,CHUBB LTD,Financial Services,0.0425387102263059,0.4324,False,scored_v5,2,,,,False,0.5110540654373253,0.5110540654373253,0.4638616261749301,0.4324,0.4638616261749301,0.6057045582820876,0.4795924392623952,0.4717270327186627,0.46386162617493015,0.4874578458061277,0.4795924392623952,11,0.6262498365034743
AJG,AJG,ARTHUR J GALLAGHER & COMPANY,Financial Services,0.0397006570458741,0.3882,False,scored_v5,2,,,,False,0.5110540654373253,0.5110540654373253,0.4373416261749301,0.3882,0.4373416261749301,0.5710742598930456,0.4619124392623952,0.44962703271866267,0.4373416261749301,0.4741978458061277,0.4619124392623952,12,0.6031630114820034
FIBK,FIBK,FIRST INTERSTATE BANCSYSTEM INC.,Financial Services,0.0360867525531377,0.2912,False,scored_v5,1,,,,False,-0.8069274717431454,-0.8069274717431454,-0.1480509886972581,0.2912,-0.1480509886972581,-0.1933420646833249,-0.3676764830458872,-0.2578637358715727,-0.14805098869725816,-0.47748923022020173,-0.3676764830458872,25,-0.4801273894841743
BANC,BANC,BANC OF CALIFORNIA INC.,Financial Services,0.0359457322145652,0.182,False,scored_v5,1,,,,False,-0.8069274717431454,-0.8069274717431454,-0.2135709886972581,0.182,-0.2135709886972581,-0.2788992724680166,-0.41135648304588723,-0.3124637358715727,-0.21357098869725819,-0.5102492302202017,-0.41135648304588723,26,-0.5371654277725145
MTB,MTB,M&T BANK CORPORATION,Financial Services,0.0316947164907609,0.1053,False,scored_v5,1,,,,False,-0.8069274717431454,-0.8069274717431454,-0.2595909886972581,0.1053,-0.2595909886972581,-0.3389930255548834,-0.4420364830458872,-0.3508137358715727,-0.25959098869725816,-0.5332592302202017,-0.4420364830458872,27,-0.57722785942742
CFG,CFG,CITIZENS FINANCIAL GROUP INC.,Financial Services,0.0240396172892927,0.0825,False,scored_v5,2,,,,False,0.5110540654373253,0.5110540654373253,0.2539216261749301,0.0825,0.2539216261749301,0.3315610875507357,0.33963243926239517,0.2967770327186627,0.25392162617493014,0.3824878458061277,0.33963243926239517,13,0.443487843856128
