Deal_ID,Acquiror_Name,Target_Name,Industry,Close_Year,Disclosure_Quality,CULT_Code,Analyzable,CULT_Fuzzy_workbook,CULT_calibrated
1,CAIXABANK SA,BANKIA SA,Financial Services / Payments,2021,HIGH,MODERATE,True,0.67,0.67
2,BANCORPSOUTH BANK,CADENCE BANCORPORATION LLC,Financial Services / Payments,2021,HIGH,MODERATE,True,0.67,0.67
3,REGIONS FINANCIAL CORPORATION,ENERBANK USA,Financial Services / Payments,2021,HIGH,WEAK,True,0.33,0.33
4,ARTHUR J GALLAGHER & COMPANY,WILLIS TOWERS WATSON PLC'S REINSURANCE BROKERAGE BUSINESS,Financial Services / Payments,2021,HIGH,MODERATE,True,0.67,0.67
5,"ALLSTATE CORPORATION, THE",NATIONAL GENERAL HOLDINGS CORPORATION,Financial Services / Payments,2021,HIGH,WEAK,True,0.33,0.33
6,MORGAN STANLEY,EATON VANCE CORPORATION,Financial Services / Payments,2021,HIGH,MODERATE,True,0.67,0.67
7,INTESA SANPAOLO SPA,LONDON STOCK EXCHANGE GROUP HOLDINGS ITALIA SPA,Financial Services / Payments,2021,HIGH,EXCLUDED,False,,
8,BLACKSTONE REAL ESTATE INCOME TRUST INC.,WPT INDUSTRIAL REAL ESTATE INVESTMENT TRUST,Financial Services / Payments,2021,HIGH,EXCLUDED,False,,
9,BIRD GLOBAL INC.,SWITCHBACK II CORPORATION,Financial Services / Payments,2021,HIGH,EXCLUDED,False,,
10,BLACKSTONE REAL ESTATE INCOME TRUST INC.,"CABOT PROPERTIES INC.'S 102 PROPERTIES LOCATED IN INLAND EMPIRE, CALIFORNIA, EASTERN PENNSYLVANIA, SOUTH FLORIDA AND THE NEW YORK METROPOLITAN AREA",Financial Services / Payments,2021,HIGH,EXCLUDED,False,,
11,NEW RESIDENTIAL INVESTMENT CORPORATION,CALIBER HOME LOANS INC.,Financial Services / Payments,2021,HIGH,MODERATE,True,0.67,0.67
12,HOULIHAN LOKEY INC.,GCA CORPORATION,Financial Services / Payments,2021,HIGH,MODERATE,True,0.67,0.67
13,SIRIUS REAL ESTATE LTD,HELIX INVESTMENTS LTD,Financial Services / Payments,2021,HIGH,EXCLUDED,False,,
14,"PNC FINANCIAL SERVICES GROUP INC., THE",BBVA USA BANCSHARES INC.,Financial Services / Payments,2021,MEDIUM,MODERATE,True,0.67,0.67
15,BRIDGE BANCORP INC.,DIME COMMUNITY BANCSHARES INC. (OLD),Financial Services / Payments,2021,MEDIUM,MODERATE,True,0.67,0.67
16,ENTERPRISE FINANCIAL SERVICES CORPORATION,FIRST CHOICE BANCORP,Financial Services / Payments,2021,MEDIUM,WEAK,True,0.33,0.33
17,FIRST FOUNDATION INC.,TGR FINANCIAL INC.,Financial Services / Payments,2021,MEDIUM,MODERATE,True,0.67,0.67
18,STOCK YARDS BANCORP INC.,KENTUCKY BANCSHARES INC.,Financial Services / Payments,2021,MEDIUM,WEAK,True,0.33,0.33
19,NN GROUP NV,HEINENOORD HOLDING BV,Financial Services / Payments,2021,MEDIUM,WEAK,True,0.33,0.33
20,BRP GROUP INC.,"JACOBSON, GOLDFARB & SCOTT INC.'S ASSETS",Financial Services / Payments,2021,MEDIUM,MODERATE,True,0.67,0.67
21,M&T BANK CORPORATION,PEOPLE'S UNITED FINANCIAL INC.,Financial Services / Payments,2022,HIGH,MODERATE,True,0.67,0.67
22,OLD NATIONAL BANCORP,FIRST MIDWEST BANCORP INC.,Financial Services / Payments,2022,HIGH,MODERATE,True,0.67,0.67
23,WEBSTER FINANCIAL CORPORATION,STERLING BANCORP,Financial Services / Payments,2022,HIGH,MODERATE,True,0.67,0.67
24,NEW YORK COMMUNITY BANCORP INC.,FLAGSTAR BANCORP INC.,Financial Services / Payments,2022,HIGH,MODERATE,True,0.67,0.67
25,FIRST CITIZENS BANCSHARES INC.,CIT GROUP INC.,Financial Services / Payments,2022,HIGH,MODERATE,True,0.67,0.67
26,FIRST INTERSTATE BANCSYSTEM INC.,GREAT WESTERN BANCORP INC.,Financial Services / Payments,2022,HIGH,MODERATE,True,0.67,0.67
27,VALLEY NATIONAL BANCORP,BANK LEUMI LE-ISRAEL CORPORATION,Financial Services / Payments,2022,HIGH,MODERATE,True,0.67,0.67
28,DNB BANK ASA,SBANKEN ASA,Financial Services / Payments,2022,HIGH,MODERATE,True,0.67,0.67
29,KBC GROEP NV/ KBC GROUPE SA,RAYFAYZENBANK BULGARIA EAD,Financial Services / Payments,2022,HIGH,MODERATE,True,0.67,0.67
30,HOME BANCSHARES INC.,HAPPY BANCSHARES INC.,Financial Services / Payments,2022,HIGH,MODERATE,True,0.67,0.67
31,CBTX INC.,ALLEGIANCE BANCSHARES INC.,Financial Services / Payments,2022,HIGH,MODERATE,True,0.67,0.67
32,SIMMONS FIRST NATIONAL CORPORATION,SPIRIT OF TEXAS BANCSHARES INC.,Financial Services / Payments,2022,HIGH,WEAK,True,0.33,0.33
33,UNITED COMMUNITY BANKS INC.,RELIANT BANCORP INC.,Financial Services / Payments,2022,HIGH,MODERATE,True,0.67,0.67
34,CHUBB LTD,LINA LIFE INSURANCE COMPANY OF KOREA,Financial Services / Payments,2022,HIGH,MODERATE,True,0.67,0.67
35,SUN LIFE FINANCIAL INC.,DENTAQUEST LLC,Financial Services / Payments,2022,HIGH,MODERATE,True,0.67,0.67
36,ALM BRAND A/S,CODAN FORSIKRING A/S' DANISH BUSINESS,Financial Services / Payments,2022,HIGH,MODERATE,True,0.67,0.67
37,SUPER GROUP (SGHC) LTD,SPORTS ENTERTAINMENT ACQUISITION CORPORATION,Financial Services / Payments,2022,HIGH,EXCLUDED,False,,
38,CHURCHILL DOWNS INC.,PENINSULA PACIFIC ENTERTAINMENT LLC'S VIRGINIA AND NEW YORK ASSETS,Financial Services / Payments,2022,HIGH,EXCLUDED,False,,
39,BARINGS BDC INC.,SIERRA INCOME CORPORATION,Financial Services / Payments,2022,HIGH,EXCLUDED,False,,
40,SCHRODERS PLC,GREENCOAT CAPITAL HOLDINGS LTD,Financial Services / Payments,2022,HIGH,MODERATE,True,0.67,0.67
41,US BANCORP,MUFG UNION BANK NA,Financial Services / Payments,2022,MEDIUM,MODERATE,True,0.67,0.67
42,CITIZENS FINANCIAL GROUP INC.,INVESTORS BANCORP INC.,Financial Services / Payments,2022,MEDIUM,MODERATE,True,0.67,0.67
43,RAYMOND JAMES FINANCIAL INC.,TRISTATE CAPITAL HOLDINGS INC.,Financial Services / Payments,2022,MEDIUM,MODERATE,True,0.67,0.67
44,BERKSHIRE HATHAWAY INC.,ALLEGHANY CORPORATION,Financial Services / Payments,2022,MEDIUM,WEAK,True,0.33,0.33
45,LEMONADE INC.,METROMILE INC.,Financial Services / Payments,2022,MEDIUM,MODERATE,True,0.67,0.67
46,B RILEY FINANCIAL INC.,FOCALPOINT SECURITIES LLC,Financial Services / Payments,2022,MEDIUM,WEAK,True,0.33,0.33
47,COLUMBIA BANKING SYSTEM INC.,UMPQUA HOLDINGS CORPORATION,Financial Services / Payments,2023,HIGH,MODERATE,True,0.67,0.67
48,BANC OF CALIFORNIA INC.,PACWEST BANCORP,Financial Services / Payments,2023,HIGH,WEAK,True,0.33,0.33
49,ASR NEDERLAND NV,AEGON NEDERLAND NV'S INSURANCE ACTIVITIES AND CERTAIN BUSINESSES,Financial Services / Payments,2023,HIGH,STRONG,True,0.95,0.95
50,RENAISSANCERE HOLDINGS LTD,VALIDUS REINSURANCE LTD,Financial Services / Payments,2023,HIGH,WEAK,True,0.33,0.33
51,ARTHUR J GALLAGHER & COMPANY,CADENCE INSURANCE INC.,Financial Services / Payments,2023,HIGH,MODERATE,True,0.67,0.67
52,ARTHUR J GALLAGHER & COMPANY,EASTERN INSURANCE GROUP LLC'S ASSETS,Financial Services / Payments,2023,HIGH,MODERATE,True,0.67,0.67
53,"TORONTO-DOMINION BANK, THE",COWEN INC.,Financial Services / Payments,2023,HIGH,MODERATE,True,0.67,0.67
54,RATHBONES GROUP PLC,INVESTEC WEALTH & INVESTMENT LTD,Financial Services / Payments,2023,HIGH,MODERATE,True,0.67,0.67
55,RITHM CAPITAL CORPORATION,SCULPTOR CAPITAL MANAGEMENT INC.,Financial Services / Payments,2023,HIGH,MODERATE,True,0.67,0.67
56,BANK OF MONTREAL,BANK OF THE WEST,Financial Services / Payments,2023,MEDIUM,MODERATE,True,0.67,0.67
57,OTP BANK NYRT,NOVA KREDITNA BANKA MARIBOR DD,Financial Services / Payments,2023,MEDIUM,MODERATE,True,0.67,0.67
58,SEACOAST BANKING CORPORATION OF FLORIDA,PROFESSIONAL HOLDING CORPORATION,Financial Services / Payments,2023,MEDIUM,WEAK,True,0.33,0.33
59,PROSPERITY BANCSHARES INC.,FIRST BANCSHARES OF TEXAS INC.,Financial Services / Payments,2023,MEDIUM,MODERATE,True,0.67,0.67
60,DEUTSCHE BANK AG,NUMIS CORPORATION PLC,Financial Services / Payments,2023,MEDIUM,MODERATE,True,0.67,0.67
61,SALESFORCE.COM INC.,SLACK TECHNOLOGIES INC.,Technology / Software,2021,HIGH,MODERATE,True,0.67,0.67
62,LONDON STOCK EXCHANGE GROUP PLC,REFINITIV LTD,Technology / Software,2021,HIGH,MODERATE,True,0.67,0.67
63,INTUIT INC.,"ROCKET SCIENCE GROUP LLC, THE",Technology / Software,2021,HIGH,MODERATE,True,0.67,0.67
64,DELIVERY HERO SE,WOOWA BROTHERS CORPORATION,Technology / Software,2021,HIGH,EXCLUDED,False,,
65,SKYWORKS SOLUTIONS INC.,SILICON LABORATORIES INC.'S INFRASTRUCTURE & AUTOMOTIVE BUSINESS,Technology / Software,2021,HIGH,WEAK,True,0.33,0.33
66,BALLY'S CORPORATION,GAMESYS GROUP PLC,Technology / Software,2021,HIGH,EXCLUDED,False,,
67,BILL.COM HOLDINGS INC.,DIVVYPAY INC.,Technology / Software,2021,HIGH,MODERATE,True,0.67,0.67
68,TYLER TECHNOLOGIES INC.,NIC INC.,Technology / Software,2021,HIGH,MODERATE,True,0.67,0.67
69,ROCKWELL AUTOMATION INC.,PLEX SYSTEMS HOLDINGS INC.,Technology / Software,2021,HIGH,MODERATE,True,0.67,0.67
70,INTERNATIONAL BUSINESS MACHINES CORPORATION,TURBONOMIC INC.,Technology / Software,2021,HIGH,WEAK,True,0.33,0.33
71,EQUIFAX INC.,APPRISS INSIGHTS LLC,Technology / Software,2021,HIGH,MODERATE,True,0.67,0.67
72,PROSUS NV,STACK EXCHANGE INC.,Technology / Software,2021,HIGH,MODERATE,True,0.67,0.67
73,MAGNITE INC.,SPOTX INC.,Technology / Software,2021,HIGH,WEAK,True,0.33,0.33
74,FORTIVE CORPORATION,PROVATION SOFTWARE INC.,Technology / Software,2021,HIGH,MODERATE,True,0.67,0.67
75,SINCH AB,MESSAGE4U PTY LTD,Technology / Software,2021,HIGH,MODERATE,True,0.67,0.67
76,ADOBE INC.,FRAME.IO INC.,Technology / Software,2021,HIGH,MODERATE,True,0.67,0.67
