Deal_ID,BvD_Sub_Sector,Industry_Group,Close_Year,DYN_raw_combined,DYN_raw_US_only
1,"Banking, Insurance & Financial Services / Banks",Banks,2021,0.00055,0.000877
2,"Banking, Insurance & Financial Services / Banks",Banks,2021,0.00055,0.000877
3,"Banking, Insurance & Financial Services / Banks",Banks,2021,0.00055,0.000877
4,"Banking, Insurance & Financial Services / Insurance",Insurance,2021,0.001362,0.000365
5,"Banking, Insurance & Financial Services / Insurance",Insurance,2021,0.001362,0.000365
6,"Banking, Insurance & Financial Services / Management",Other Financial Services,2021,0.000838,0.000561
7,"Banking, Insurance & Financial Services / Securities & Commodities",Other Financial Services,2021,0.000838,0.000561
8,"Banking, Insurance & Financial Services / Funds",Other Financial Services,2021,0.000838,0.000561
9,"Banking, Insurance & Financial Services / Other Banking, Insurance & Financial Services",Other Financial Services,2021,0.000838,0.000561
10,"Banking, Insurance & Financial Services / Other Banking, Insurance & Financial Services",Other Financial Services,2021,0.000838,0.000561
11,"Banking, Insurance & Financial Services / Credit & Finance",Other Financial Services,2021,0.000838,0.000561
12,"Banking, Insurance & Financial Services / Investments",Other Financial Services,2021,0.000838,0.000561
13,"Banking, Insurance & Financial Services / Other Banking, Insurance & Financial Services",Other Financial Services,2021,0.000838,0.000561
14,"Banking, Insurance & Financial Services / Banks",Banks,2021,0.00055,0.000877
15,"Banking, Insurance & Financial Services / Banks",Banks,2021,0.00055,0.000877
16,"Banking, Insurance & Financial Services / Banks",Banks,2021,0.00055,0.000877
17,"Banking, Insurance & Financial Services / Banks",Banks,2021,0.00055,0.000877
18,"Banking, Insurance & Financial Services / Banks",Banks,2021,0.00055,0.000877
19,"Banking, Insurance & Financial Services / Insurance",Insurance,2021,0.001362,0.000365
20,"Banking, Insurance & Financial Services / Insurance",Insurance,2021,0.001362,0.000365
21,"Banking, Insurance & Financial Services / Banks",Banks,2022,0.000864,0.001012
22,"Banking, Insurance & Financial Services / Banks",Banks,2022,0.000864,0.001012
23,"Banking, Insurance & Financial Services / Banks",Banks,2022,0.000864,0.001012
24,"Banking, Insurance & Financial Services / Banks",Banks,2022,0.000864,0.001012
