Deal_ID,Acquiror_Name,Ticker,Industry,Reclassified,Close_Year,Deal_Value_M,Acq_Rev_Y0,Acq_Rev_Yplus2,Acq_Rev_CAGR_2y,Bench_Rev_CAGR_2y,IAG_Primary_2y,SIZE_rel_DealOverRev
1,CAIXABANK SA,CABK,Financial Services / Payments,No,2021,5106.961694,14417.944349,24268.546604,0.297389,0.242272,0.055117,0.354209
2,BANCORPSOUTH BANK,CADE,Financial Services / Payments,No,2021,2966.080000,1260.202000,2193.824000,0.319413,0.242272,0.077142,2.353654
3,REGIONS FINANCIAL CORPORATION,RF,Financial Services / Payments,No,2021,1000.000000,6585.000000,9153.000000,0.178973,0.242272,-0.063299,0.151860
4,ARTHUR J GALLAGHER & COMPANY,AJG,Financial Services / Payments,No,2021,4000.000000,8209.400000,10071.900000,0.107643,0.242272,-0.134628,0.487246
5,"ALLSTATE CORPORATION, THE",ALL,Financial Services / Payments,No,2021,4000.000000,50588.000000,57094.000000,0.062359,0.242272,-0.179912,0.079070
6,MORGAN STANLEY,MS,Financial Services / Payments,No,2021,7000.000000,61121.000000,96194.000000,0.254523,0.242272,0.012252,0.114527
11,NEW RESIDENTIAL INVESTMENT CORPORATION,RITM,Financial Services / Payments,No,2021,1675.000000,3533.136000,3691.931000,0.022225,0.242272,-0.220046,0.474083
12,HOULIHAN LOKEY INC.,HLI,Financial Services / Payments,No,2021,605.304801,1525.452000,1809.447000,0.089115,0.242272,-0.153157,0.396804
14,"PNC FINANCIAL SERVICES GROUP INC., THE",PNC,Financial Services / Payments,No,2021,11600.000000,19698.000000,31882.000000,0.272219,0.242272,0.029947,0.588892
15,BRIDGE BANCORP INC.,BDGE,Financial Services / Payments,No,2021,489.000000,426.694000,645.566000,0.230020,0.242272,-0.012252,1.146020
16,ENTERPRISE FINANCIAL SERVICES CORPORATION,EFSC,Financial Services / Payments,No,2021,395.153000,450.973000,833.644000,0.359612,0.242272,0.117341,0.876223
17,FIRST FOUNDATION INC.,FFWM,Financial Services / Payments,No,2021,295.000000,317.671000,623.042000,0.400457,0.242272,0.158186,0.928634
18,STOCK YARDS BANCORP INC.,SYBT,Financial Services / Payments,No,2021,189.431000,242.926000,438.916000,0.344168,0.242272,0.101897,0.779789
19,NN GROUP NV,NN,Financial Services / Payments,No,2021,353.739612,22420.553985,20801.147860,-0.036791,0.242272,-0.279063,0.015777
20,BRP GROUP INC.,BWIN,Financial Services / Payments,No,2021,163.000000,567.290000,1218.555000,0.465615,0.242272,0.223344,0.287331
21,M&T BANK CORPORATION,MTB,Financial Services / Payments,No,2022,7518.439000,8603.723000,13453.000000,0.250450,0.180935,0.069515,0.873859
22,OLD NATIONAL BANCORP,ONB,Financial Services / Payments,No,2022,6500.000000,1853.981000,2956.348000,0.262773,0.180935,0.081837,3.505969
23,WEBSTER FINANCIAL CORPORATION,WBS,Financial Services / Payments,No,2022,5115.048000,2725.520000,4179.185000,0.238286,0.180935,0.057351,1.876724
24,NEW YORK COMMUNITY BANCORP INC.,FLG,Financial Services / Payments,No,2022,2600.000000,2339.000000,6353.000000,0.648065,0.180935,0.467130,1.111586
25,FIRST CITIZENS BANCSHARES INC.,FCNCA,Financial Services / Payments,No,2022,2156.590000,5549.000000,14968.000000,0.642383,0.180935,0.461448,0.388645
26,FIRST INTERSTATE BANCSYSTEM INC.,FIBK,Financial Services / Payments,No,2022,1949.842000,1184.700000,1480.600000,0.117930,0.180935,-0.063005,1.645853
27,VALLEY NATIONAL BANCORP,VLY,Financial Services / Payments,No,2022,1220.000000,2183.476000,3581.998000,0.280821,0.180935,0.099886,0.558742
28,DNB BANK ASA,DNB,Financial Services / Payments,No,2022,1196.490887,10535.056876,20275.562061,0.387292,0.180935,0.206357,0.113572
29,KBC GROEP NV/ KBC GROUPE SA,KBC,Financial Services / Payments,No,2022,1027.901455,12264.396798,13385.965632,0.044724,0.180935,-0.136211,0.083812
30,HOME BANCSHARES INC.,HOMB,Financial Services / Payments,No,2022,919.100000,1052.877000,1468.351000,0.180935,0.180935,0.000000,0.872941
31,CBTX INC.,STEL,Financial Services / Payments,No,2022,811.312000,343.348000,625.446000,0.349670,0.180935,0.168735,2.362944
