"","AI_CAP","CULT","STRUCT","DYN","OUT","n","incl","PRI","cases"
"1",0,0,0,0,"?",0,"-","-",""
"2",0,0,0,1,"?",0,"-","-",""
"3",0,0,1,0,"0",16,"0.72853219778852","0.434281166352269","142,88,87,110,160,134,179,173,187,73,147,177,156,107,65,96"
"4",0,0,1,1,"0",7,"0.773013370498932","0.450781127556974","124,48,16,3,46,32,18"
"5",0,1,0,0,"0",1,"0.773010728618624","0.396377025320201","120"
"6",0,1,0,1,"0",1,"0.779062019338671","0.319732175451748","136"
"7",0,1,1,0,"0",23,"0.725207050362829","0.457814821249814","115,85,77,145,79,128,170,74,83,97,62,185,104,155,86,171,188,75,127,68,94,180,166"
"8",0,1,1,1,"1",23,"0.768565872717581","0.54664756159838","36,49,15,20,2,25,17,26,24,122,12,30,121,21,22,59,54,55,11,31,33,27,23"
"9",1,0,0,0,"?",0,"-","-",""
"10",1,0,0,1,"0",2,"0.803515309085815","0.362511976591314","44,19"
"11",1,0,1,0,"0",18,"0.750399121588139","0.456412004051432","135,139,130,168,159,129,102,70,169,163,140,114,176,82,192,151,137,194"
"12",1,0,1,1,"0",3,"0.807822789705136","0.400565852525642","5,50,58"
"13",1,1,0,0,"0",1,"0.804005244095037","0.43445904077486","72"
"14",1,1,0,1,"0",1,"0.802184649424457","0.314716760740875","43"
"15",1,1,1,0,"1",25,"0.761917977459954","0.514333378325986","76,80,67,112,61,109,157,71,106,153,111,154,101,184,126,105,69,78,181,125,174,186,164,167,146"
"16",1,1,1,1,"0",19,"0.735052077030168","0.385018155166022","52,4,51,56,1,34,42,47,60,28,29,45,6,57,14,40,35,53,41"
