"","AI_CAP","CULT","STRUCT","SIZE","DYN","OUT","n","incl","PRI","cases"
"1",0,0,0,0,0,"?",0,"-","-",""
"2",0,0,0,0,1,"?",0,"-","-",""
"3",0,0,0,1,0,"?",0,"-","-",""
"4",0,0,0,1,1,"?",0,"-","-",""
"5",0,0,1,0,0,"0",3,"0.526416772614713","0.305637155224167","179,173,177"
"6",0,0,1,0,1,"0",5,"0.518492422205098","0.297710316548485","142,147,156,3,46"
"7",0,0,1,1,0,"0",9,"0.65126764160973","0.459796355352165","124,88,87,110,187,73,107,65,96"
"8",0,0,1,1,1,"0",5,"0.691431579213615","0.549273704025523","48,16,134,32,18"
"9",0,1,0,0,0,"0",1,"0.510896984491736","0.273616846188243","120"
"10",0,1,0,0,1,"?",0,"-","-",""
"11",0,1,0,1,0,"0",1,"0.650444325399635","0.407807104315787","136"
"12",0,1,0,1,1,"?",0,"-","-",""
"13",0,1,1,0,0,"0",8,"0.519952905018108","0.349259095943173","85,77,20,74,121,188,94,180"
"14",0,1,1,0,1,"0",4,"0.544606900614538","0.355250094307732","59,155,55,166"
"15",0,1,1,1,0,"0",14,"0.650743678816458","0.491242269928476","115,36,79,170,83,122,97,62,185,104,86,171,75,68"
"16",0,1,1,1,1,"0",20,"0.71018105943333","0.605234542895637","49,15,145,2,128,25,17,26,24,12,30,21,22,54,11,31,127,33,27,23"
"17",1,0,0,0,0,"0",2,"0.5652808713108","0.315657788249228","44,19"
"18",1,0,0,0,1,"?",0,"-","-",""
"19",1,0,0,1,0,"?",0,"-","-",""
"20",1,0,0,1,1,"?",0,"-","-",""
"21",1,0,1,0,0,"0",7,"0.559688937523718","0.384117630662902","5,70,169,114,176,82,194"
"22",1,0,1,0,1,"0",6,"0.585920651090014","0.37804446124842","135,130,159,129,140,137"
"23",1,0,1,1,0,"0",3,"0.745008617809014","0.615172666700695","168,102,192"
"24",1,0,1,1,1,"1",6,"0.773613341843691","0.617957639794999","139,160,163,50,151,58"
"25",1,1,0,0,0,"0",1,"0.564455233920057","0.300658634972641","72"
"26",1,1,0,0,1,"0",1,"0.581425947272315","0.291605384268688","43"
"27",1,1,0,1,0,"?",0,"-","-",""
"28",1,1,0,1,1,"?",0,"-","-",""
"29",1,1,1,0,0,"0",14,"0.583150410579175","0.430654035464092","76,80,112,34,71,106,111,101,184,69,78,35,181,174"
"30",1,1,1,0,1,"0",18,"0.584466812821123","0.417383060179354","52,51,56,1,60,28,153,154,29,6,126,57,40,53,41,164,167,146"
"31",1,1,1,1,0,"0",7,"0.715254232194668","0.588010654470973","4,67,61,109,45,105,186"
"32",1,1,1,1,1,"1",5,"0.760677901258754","0.619458250058999","42,47,157,14,125"
